DIST_CODE,NRC_RESULT
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,F
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,F
AN,P
AN,F
AN,F
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,F
AN,F
AN,F
AN,P
AN,F
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,F
AN,P
AN,P
AN,F
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AN,P
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,F
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,F
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
AS,P
AS,P
AS,P
AS,P
AS,F
AS,F
